,GarageQual,FireplaceQa,SalePrice,GarageQualNew
0,TA,,208500,TA
1,TA,TA,181500,TA
2,TA,TA,223500,TA
3,TA,Gd,140000,TA
4,TA,TA,250000,TA
5,TA,,143000,TA
6,TA,Gd,307000,TA
7,TA,TA,200000,TA
8,Fa,TA,129900,Fa
9,Gd,TA,118000,Gd
10,TA,,129500,TA
11,TA,Gd,345000,TA
12,TA,,144000,TA
13,TA,Gd,279500,TA
14,TA,Fa,157000,TA
15,TA,,132000,TA
16,TA,TA,149000,TA
17,TA,,90000,TA
18,TA,,159000,TA
19,TA,,139000,TA
20,TA,Gd,325300,TA
21,TA,Gd,139400,TA
22,TA,Gd,230000,TA
23,TA,TA,129900,TA
24,TA,TA,154000,TA
25,TA,Gd,256300,TA
26,TA,,134800,TA
27,TA,Gd,306000,TA
28,TA,Gd,207500,TA
29,Fa,,68500,Fa
30,TA,,40000,TA
31,TA,,149350,TA
32,TA,,179900,TA
33,TA,Gd,165500,TA
34,TA,Gd,277500,TA
35,TA,Gd,309000,TA
36,TA,,145000,TA
37,TA,TA,153000,TA
38,TA,,109000,TA
39,TA,,82000,TA
40,TA,TA,160000,TA
41,TA,Gd,170000,TA
42,TA,,144000,TA
43,TA,,130250,TA
44,TA,,141000,TA
45,TA,Gd,319900,TA
46,TA,Ex,239686,TA
47,TA,,249700,TA
48,TA,,113000,TA
49,TA,,127000,TA
50,TA,,177000,TA
51,TA,Gd,114500,TA
52,TA,,110000,TA
53,TA,Gd,385000,TA
54,TA,TA,130000,TA
55,TA,Gd,180500,TA
56,TA,,172500,TA
57,TA,,196500,TA
58,TA,Gd,438780,TA
59,TA,,124900,TA
60,TA,,158000,TA
61,TA,,101000,TA
62,TA,Gd,202500,TA
63,TA,,140000,TA
64,TA,,219500,TA
65,TA,Gd,317000,TA
66,TA,Gd,180000,TA
67,TA,,226000,TA
68,TA,,80000,TA
69,TA,TA,225000,TA
70,TA,Gd,244000,TA
71,TA,,129500,TA
72,TA,TA,185000,TA
73,TA,,144900,TA
74,TA,,107400,TA
75,TA,,91000,TA
76,TA,,135750,TA
77,TA,,127000,TA
78,TA,,136500,TA
79,TA,,110000,TA
80,TA,Gd,193500,TA
81,TA,,153500,TA
82,TA,Gd,245000,TA
83,TA,,126500,TA
84,TA,TA,168500,TA
85,TA,TA,260000,TA
86,TA,Gd,174000,TA
87,TA,,164500,TA
88,TA,,85000,TA
89,TA,,123600,TA
90,TA,,109900,TA
91,TA,,98600,TA
92,TA,,163500,TA
93,TA,Gd,133900,TA
94,TA,,204750,TA
95,TA,TA,185000,TA
96,TA,,214000,TA
97,TA,,94750,TA
98,Fa,,83000,Fa
99,TA,,128950,TA
100,TA,TA,205000,TA
101,TA,TA,178000,TA
102,TA,,118964,TA
103,TA,,198900,TA
104,TA,TA,169500,TA
105,TA,Gd,250000,TA
106,Fa,,100000,Fa
107,TA,,115000,TA
108,TA,,115000,TA
109,TA,TA,190000,TA
110,TA,,136900,TA
111,TA,TA,180000,TA
112,TA,Gd,383970,TA
113,TA,Gd,217000,TA
114,TA,TA,259500,TA
115,TA,Fa,176000,TA
116,TA,Po,139000,TA
117,TA,,155000,TA
118,TA,TA,320000,TA
119,TA,Gd,163990,TA
120,TA,TA,180000,TA
121,TA,,100000,TA
122,TA,,136000,TA
123,TA,,153900,TA
124,TA,TA,181000,TA
125,TA,,84500,TA
126,TA,TA,128000,TA
127,TA,TA,87000,TA
128,TA,Fa,155000,TA
129,TA,,150000,TA
130,TA,Gd,226000,TA
131,TA,TA,244000,TA
132,TA,,150750,TA
133,TA,,220000,TA
134,TA,TA,180000,TA
135,TA,Gd,174000,TA
136,TA,Fa,143000,TA
137,TA,,171000,TA
138,TA,TA,230000,TA
139,TA,,231500,TA
140,TA,Po,115000,TA
141,TA,,260000,TA
142,TA,,166000,TA
143,TA,,204000,TA
144,TA,,125000,TA
145,TA,,130000,TA
146,Fa,,105000,Fa
147,TA,Gd,222500,TA
148,TA,,141000,TA
149,Fa,,115000,Fa
150,TA,,122000,TA
151,TA,Gd,372402,TA
152,TA,Gd,190000,TA
153,TA,Gd,235000,TA
154,Fa,,125000,Fa
155,TA,,79000,TA
156,TA,,109500,TA
157,TA,Gd,269500,TA
158,TA,Gd,254900,TA
159,TA,Gd,320000,TA
160,TA,,162500,TA
161,TA,Gd,412500,TA
162,TA,Gd,220000,TA
163,TA,,103200,TA
164,TA,,152000,TA
165,TA,,127500,TA
166,TA,Gd,190000,TA
167,TA,Gd,325624,TA
168,TA,Gd,183500,TA
169,TA,TA,228000,TA
170,TA,,128500,TA
171,TA,Gd,215000,TA
172,Gd,TA,239000,Gd
173,TA,TA,163000,TA
174,TA,TA,184000,TA
175,TA,Gd,243000,TA
176,TA,TA,211000,TA
177,TA,Gd,172500,TA
178,TA,Gd,501837,TA
179,Fa,,100000,Fa
180,TA,TA,177000,TA
181,Fa,Gd,200100,Fa
182,TA,Gd,120000,TA
183,TA,,200000,TA
184,TA,,127000,TA
185,Ex,TA,475000,Ex
186,TA,,173000,TA
187,Fa,,135000,Fa
188,TA,TA,153337,TA
189,TA,Gd,286000,TA
190,TA,TA,315000,TA
191,TA,,184000,TA
192,TA,,192000,TA
193,TA,,130000,TA
194,TA,,127000,TA
195,TA,TA,148500,TA
196,TA,Gd,311872,TA
197,TA,Ex,235000,TA
198,TA,,104000,TA
199,TA,Gd,274900,TA
200,TA,,140000,TA
201,TA,Fa,171500,TA
202,TA,,112000,TA
203,TA,Gd,149000,TA
204,TA,,110000,TA
205,TA,,180500,TA
206,TA,TA,143900,TA
207,TA,Po,141000,TA
208,TA,Gd,277000,TA
209,TA,,145000,TA
210,TA,,98000,TA
211,TA,,186000,TA
212,TA,TA,252678,TA
213,TA,,156000,TA
214,TA,,161750,TA
215,TA,Fa,134450,TA
216,TA,,210000,TA
217,TA,,107000,TA
218,TA,TA,311500,TA
219,TA,,167240,TA
220,TA,,204900,TA
221,TA,TA,200000,TA
222,TA,TA,179900,TA
223,TA,,97000,TA
224,TA,Ex,386250,TA
225,TA,,112000,TA
226,TA,TA,290000,TA
227,TA,,106000,TA
228,TA,Fa,125000,TA
229,TA,TA,192500,TA
230,TA,,148000,TA
231,TA,TA,403000,TA
232,TA,Po,94500,TA
233,TA,,128200,TA
234,TA,TA,216500,TA
235,TA,,89500,TA
236,TA,,185500,TA
237,TA,,194500,TA
238,TA,,318000,TA
239,TA,Gd,113000,TA
240,TA,,262500,TA
241,TA,,110500,TA
242,Fa,,79000,Fa
243,TA,TA,120000,TA
244,TA,Fa,205000,TA
245,TA,TA,241500,TA
246,Po,,137000,Po
247,TA,TA,140000,TA
248,TA,,180000,TA
249,TA,TA,277000,TA
250,TA,,76500,TA
251,TA,Gd,235000,TA
252,TA,,173000,TA
253,TA,,158000,TA
254,TA,,145000,TA
255,TA,TA,230000,TA
256,TA,,207500,TA
257,TA,Gd,220000,TA
258,TA,TA,231500,TA
259,TA,,97000,TA
260,TA,TA,176000,TA
261,TA,Gd,276000,TA
262,TA,TA,151000,TA
263,TA,,130000,TA
264,TA,,73000,TA
265,TA,TA,175500,TA
266,TA,TA,185000,TA
267,TA,Gd,179500,TA
268,Ex,Gd,120500,Ex
269,TA,Fa,148000,TA
270,TA,Gd,266000,TA
271,TA,TA,241500,TA
272,TA,Gd,290000,TA
273,TA,Gd,139000,TA
274,TA,,124500,TA
275,TA,,205000,TA
276,TA,,201000,TA
277,TA,,141000,TA
278,TA,Ex,415298,TA
279,TA,TA,192000,TA
280,TA,TA,228500,TA
281,TA,,185000,TA
282,TA,Gd,207500,TA
283,TA,Gd,244600,TA
284,TA,,179200,TA
285,TA,,164700,TA
286,TA,Gd,159000,TA
287,TA,,88000,TA
288,TA,,122000,TA
289,TA,,153575,TA
290,Gd,Gd,233230,Gd
291,TA,,135900,TA
292,TA,Gd,131000,TA
293,TA,TA,235000,TA
294,TA,Gd,167000,TA
295,TA,,142500,TA
296,TA,,152000,TA
297,TA,TA,239000,TA
298,TA,Gd,175000,TA
299,TA,Gd,158500,TA
300,TA,Gd,157000,TA
301,TA,TA,267000,TA
302,TA,TA,205000,TA
303,TA,,149900,TA
304,TA,Ex,295000,TA
305,TA,,305900,TA
306,TA,TA,225000,TA
307,TA,,89500,TA
308,TA,,82500,TA
309,TA,Ex,360000,TA
310,TA,TA,165600,TA
311,TA,Gd,132000,TA
312,TA,Gd,119900,TA
313,TA,Gd,375000,TA
314,Fa,Gd,178000,Fa
315,TA,Gd,188500,TA
316,TA,TA,260000,TA
317,TA,Gd,270000,TA
318,TA,TA,260000,TA
319,TA,TA,187500,TA
320,TA,,342643,TA
321,TA,Gd,354000,TA
322,TA,TA,301000,TA
323,Fa,,126175,Fa
324,TA,Gd,242000,TA
325,TA,,87000,TA
326,TA,Gd,324000,TA
327,TA,,145250,TA
328,TA,,214500,TA
329,Fa,,78000,Fa
330,TA,,119000,TA
331,TA,,139000,TA
332,TA,Gd,284000,TA
333,TA,Gd,207000,TA
334,TA,TA,192000,TA
335,TA,Gd,228950,TA
336,TA,Gd,377426,TA
337,TA,,214000,TA
338,TA,,202500,TA
339,TA,,155000,TA
340,TA,,202900,TA
341,TA,,82000,TA
342,TA,,87500,TA
343,TA,Ex,266000,TA
344,TA,,85000,TA
345,TA,Gd,140200,TA
346,TA,,151500,TA
347,TA,Gd,157500,TA
348,TA,,154000,TA
349,TA,Ex,437154,TA
350,TA,Gd,318061,TA
351,TA,TA,190000,TA
352,TA,,95000,TA
353,TA,,105900,TA
354,TA,Gd,140000,TA
355,TA,,177500,TA
356,TA,,173000,TA
357,TA,Po,134000,TA
358,TA,,130000,TA
359,TA,TA,280000,TA
360,TA,TA,156000,TA
361,TA,,145000,TA
362,TA,Ex,198500,TA
363,TA,,118000,TA
364,TA,TA,190000,TA
365,TA,,147000,TA
366,TA,Gd,159000,TA
367,TA,Gd,165000,TA
368,TA,Gd,132000,TA
369,TA,Gd,162000,TA
370,TA,TA,172400,TA
371,TA,Gd,134432,TA
372,TA,,125000,TA
373,TA,,123000,TA
374,TA,Gd,219500,TA
375,TA,,61000,TA
376,TA,,148000,TA
377,TA,Gd,340000,TA
378,TA,Ex,394432,TA
379,TA,TA,179000,TA
380,TA,Gd,127000,TA
381,TA,Gd,187750,TA
382,TA,,213500,TA
383,Fa,,76000,Fa
384,TA,Fa,240000,TA
385,TA,TA,192000,TA
386,TA,,81000,TA
387,TA,Fa,125000,TA
388,TA,,191000,TA
389,TA,Ex,426000,TA
390,TA,,119000,TA
391,TA,TA,215000,TA
392,TA,,106500,TA
393,TA,TA,100000,TA
394,TA,,109000,TA
395,TA,,129000,TA
396,TA,,123000,TA
397,TA,TA,169500,TA
398,Po,,67000,Po
399,TA,,241000,TA
400,TA,Gd,245500,TA
401,TA,Gd,164990,TA
402,TA,,108000,TA
403,TA,TA,258000,TA
404,TA,TA,168000,TA
405,TA,TA,150000,TA
406,TA,,115000,TA
407,TA,,177000,TA
408,TA,Gd,280000,TA
409,TA,Gd,339750,TA
410,TA,,60000,TA
411,TA,,145000,TA
412,TA,Gd,222000,TA
413,TA,Gd,115000,TA
414,TA,TA,228000,TA
415,TA,,181134,TA
416,TA,TA,149500,TA
417,TA,Gd,239000,TA
418,TA,,126000,TA
419,TA,Fa,142000,TA
420,TA,,206300,TA
421,TA,TA,215000,TA
422,TA,,113000,TA
423,TA,TA,315000,TA
424,TA,Gd,139000,TA
425,TA,Gd,135000,TA
426,TA,TA,275000,TA
427,TA,,109008,TA
428,TA,,195400,TA
429,TA,TA,175000,TA
430,TA,,85400,TA
431,TA,,79900,TA
432,TA,,122500,TA
433,TA,TA,181000,TA
434,TA,,81000,TA
435,TA,TA,212000,TA
436,TA,,116000,TA
437,TA,,119000,TA
438,Gd,Gd,90350,Gd
439,TA,,110000,TA
440,TA,Gd,555000,TA
441,TA,,118000,TA
442,TA,Gd,162900,TA
443,TA,Gd,172500,TA
444,TA,TA,210000,TA
445,TA,Gd,127500,TA
446,TA,Gd,190000,TA
447,TA,TA,199900,TA
448,TA,Gd,119500,TA
449,TA,,120000,TA
450,Fa,,110000,Fa
451,TA,TA,280000,TA
452,TA,,204000,TA
453,TA,,210000,TA
454,TA,,188000,TA
455,TA,TA,175500,TA
456,Fa,,98000,Fa
457,TA,Gd,256000,TA
458,TA,Gd,161000,TA
459,TA,TA,110000,TA
460,TA,,263435,TA
461,TA,,155000,TA
462,TA,Po,62383,TA
463,TA,Gd,188700,TA
464,TA,,124000,TA
465,TA,TA,178740,TA
466,TA,Po,167000,TA
467,TA,Gd,146500,TA
468,TA,Gd,250000,TA
469,TA,,187000,TA
470,TA,,212000,TA
471,TA,Gd,190000,TA
472,TA,,148000,TA
473,TA,Ex,440000,TA
474,TA,,251000,TA
475,TA,,132500,TA
476,TA,TA,208900,TA
477,TA,Gd,380000,TA
478,TA,Gd,297000,TA
479,TA,,89471,TA
480,TA,Gd,326000,TA
481,TA,Gd,374000,TA
482,Fa,Gd,155000,Fa
483,TA,,164000,TA
484,TA,,132500,TA
485,TA,Gd,147000,TA
486,TA,,156000,TA
487,TA,TA,175000,TA
488,TA,Gd,160000,TA
489,TA,,86000,TA
490,TA,Gd,115000,TA
491,TA,TA,133000,TA
492,TA,,172785,TA
493,TA,Fa,155000,TA
494,TA,,91300,TA
495,TA,,34900,TA
496,TA,Gd,430000,TA
497,TA,,184000,TA
498,TA,,130000,TA
499,TA,,120000,TA
500,TA,,113000,TA
501,TA,,226700,TA
502,Fa,,140000,Fa
503,TA,TA,289000,TA
504,TA,Fa,147000,TA
505,TA,,124500,TA
506,TA,TA,215000,TA
507,TA,,208300,TA
508,TA,Gd,161000,TA
509,TA,,124500,TA
510,TA,TA,164900,TA
511,TA,Gd,202665,TA
512,TA,,129900,TA
513,TA,,134000,TA
514,Po,,96500,Po
515,TA,Gd,402861,TA
516,TA,TA,158000,TA
517,TA,TA,265000,TA
518,TA,,211000,TA
519,TA,Gd,234000,TA
520,TA,,106250,TA
521,TA,Gd,150000,TA
522,TA,Gd,159000,TA
523,TA,Gd,184750,TA
524,TA,TA,315750,TA
525,TA,TA,176000,TA
526,TA,,132000,TA
527,TA,Gd,446261,TA
528,TA,,86000,TA
529,TA,TA,200624,TA
530,TA,Fa,175000,TA
531,TA,,128000,TA
532,TA,Po,107500,TA
533,TA,,39300,TA
534,TA,Gd,178000,TA
535,TA,,107500,TA
536,TA,,188000,TA
537,TA,,111250,TA
538,TA,Fa,158000,TA
539,TA,TA,272000,TA
540,TA,Gd,315000,TA
541,TA,TA,248000,TA
542,TA,TA,213250,TA
543,TA,,133000,TA
544,TA,Gd,179665,TA
545,TA,,229000,TA
546,TA,Gd,210000,TA
547,TA,,129500,TA
548,TA,,125000,TA
549,TA,Gd,263000,TA
550,TA,,140000,TA
551,TA,,112500,TA
552,TA,Gd,255500,TA
553,TA,,108000,TA
554,TA,Gd,284000,TA
555,TA,Gd,113000,TA
556,TA,TA,141000,TA
557,TA,,108000,TA
558,TA,TA,175000,TA
559,TA,TA,234000,TA
560,TA,Gd,121500,TA
561,TA,TA,170000,TA
562,TA,Gd,108000,TA
563,TA,Gd,185000,TA
564,TA,TA,268000,TA
565,TA,,128000,TA
566,TA,Gd,325000,TA
567,TA,,214000,TA
568,Gd,Gd,316600,Gd
569,TA,TA,135960,TA
570,TA,,142600,TA
571,TA,,120000,TA
572,TA,,224500,TA
573,TA,TA,170000,TA
574,TA,,139000,TA
575,TA,,118500,TA
576,TA,Gd,145000,TA
577,TA,Fa,164500,TA
578,TA,,146000,TA
579,Fa,,131500,Fa
580,TA,Gd,181900,TA
581,TA,Gd,253293,TA
582,TA,,118500,TA
583,Gd,Gd,325000,Gd
584,TA,,133000,TA
585,TA,Gd,369900,TA
586,TA,,130000,TA
587,TA,,137000,TA
588,TA,Gd,143000,TA
589,TA,,79500,TA
590,TA,,185900,TA
591,TA,Gd,451950,TA
592,TA,,138000,TA
593,TA,,140000,TA
594,TA,,110000,TA
595,TA,TA,319000,TA
596,TA,,114504,TA
597,TA,Gd,194201,TA
598,TA,TA,217500,TA
599,TA,TA,151000,TA
600,TA,Gd,275000,TA
601,TA,Gd,141000,TA
602,TA,TA,220000,TA
603,TA,,151000,TA
604,TA,TA,221000,TA
605,TA,Fa,205000,TA
606,TA,,152000,TA
607,TA,,225000,TA
608,TA,Gd,359100,TA
609,TA,,118500,TA
610,TA,Ex,313000,TA
611,TA,TA,148000,TA
612,TA,TA,261500,TA
613,TA,,147000,TA
614,TA,,75500,TA
615,TA,,137500,TA
616,TA,Gd,183200,TA
617,TA,,105500,TA
618,TA,Gd,314813,TA
619,TA,Gd,305000,TA
620,TA,,67000,TA
621,TA,TA,240000,TA
622,TA,,135000,TA
623,TA,TA,168500,TA
624,TA,TA,165150,TA
625,TA,,160000,TA
626,TA,TA,139900,TA
627,TA,Gd,153000,TA
628,TA,TA,135000,TA
629,TA,,168500,TA
630,Fa,,124000,Fa
631,TA,Gd,209500,TA
632,TA,TA,82500,TA
633,TA,,139400,TA
634,TA,,144000,TA
635,TA,,200000,TA
636,TA,Po,60000,TA
637,TA,,93000,TA
638,TA,,85000,TA
639,TA,Gd,264561,TA
640,TA,Gd,274000,TA
641,TA,TA,226000,TA
642,TA,TA,345000,TA
643,TA,,152000,TA
644,TA,Gd,370878,TA
645,TA,,143250,TA
646,TA,,98300,TA
647,TA,Gd,155000,TA
648,TA,TA,155000,TA
649,TA,,84500,TA
650,TA,,205950,TA
651,Fa,Gd,108000,Fa
652,TA,TA,191000,TA
653,TA,,135000,TA
654,TA,TA,350000,TA
655,TA,,88000,TA
656,TA,,145500,TA
657,TA,Gd,149000,TA
658,TA,Gd,97500,TA
659,TA,,167000,TA
660,TA,TA,197900,TA
661,TA,TA,402000,TA
662,TA,TA,110000,TA
663,TA,,137500,TA
664,TA,Ex,423000,TA
665,TA,TA,230500,TA
666,TA,Po,129000,TA
667,TA,Fa,193500,TA
668,TA,TA,168000,TA
669,TA,Gd,137500,TA
670,TA,,173500,TA
671,TA,,103600,TA
672,TA,TA,165000,TA
673,TA,TA,257500,TA
674,TA,Gd,140000,TA
675,TA,TA,148500,TA
676,Fa,,87000,Fa
677,Fa,,109500,Fa
678,TA,Gd,372500,TA
679,TA,,128500,TA
680,TA,TA,143000,TA
681,TA,,159434,TA
682,TA,Gd,173000,TA
683,TA,TA,285000,TA
684,TA,,221000,TA
685,TA,TA,207500,TA
686,TA,,227875,TA
687,TA,,148800,TA
688,TA,Gd,392000,TA
689,TA,Gd,194700,TA
690,TA,TA,141000,TA
691,TA,Ex,755000,TA
692,TA,Gd,335000,TA
693,TA,,108480,TA
694,TA,,141500,TA
695,TA,TA,176000,TA
696,TA,,89000,TA
697,TA,,123500,TA
698,TA,Gd,138500,TA
699,TA,,196000,TA
700,TA,Gd,312500,TA
701,TA,,140000,TA
702,TA,Gd,361919,TA
703,TA,Po,140000,TA
704,TA,,213000,TA
705,TA,,55000,TA
706,TA,TA,302000,TA
707,TA,Gd,254000,TA
708,TA,Gd,179540,TA
709,TA,,109900,TA
710,TA,,52000,TA
711,TA,,102776,TA
712,TA,Gd,189000,TA
713,TA,,129000,TA
714,TA,,130500,TA
715,TA,TA,165000,TA
716,TA,,159500,TA
717,TA,Fa,157000,TA
718,TA,TA,341000,TA
719,TA,Po,128500,TA
720,TA,TA,275000,TA
721,TA,,143000,TA
722,TA,,124500,TA
723,TA,,135000,TA
724,TA,Gd,320000,TA
725,TA,,120500,TA
726,TA,Gd,222000,TA
727,TA,,194500,TA
728,TA,,110000,TA
729,TA,,103000,TA
730,TA,TA,236500,TA
731,TA,Gd,187500,TA
732,TA,TA,222500,TA
733,TA,TA,131400,TA
734,TA,,108000,TA
735,TA,TA,163000,TA
736,TA,,93500,TA
737,TA,Gd,239900,TA
738,TA,,179000,TA
739,TA,,190000,TA
740,TA,,132000,TA
741,TA,,142000,TA
742,TA,,179000,TA
